,0,1,2,3,4,6,8,16,24,32
1,"0,001","0,031","0,053","0,043","0,054","0,109","0,158","0,354","0,387","0,424"
3,"0,001","0,004","0,093","0,151","1,877","1,229","0,137","0,331","0,433","0,435"
10,"0,001","0,004","0,093","6,446","0,033","0,752","0,115","0,311","0,353","0,457"
100,"0,102","0,111","0,158","1,715","0,054","0,269","0,162","0,422","0,489","0,492"
500,"2,576","2,724","1,562","0,969","0,722","8,67","1,196","1,253","1,314","1,112"
1000,"10,526","11,201","6,311","3,92","2,913","3,958","3,046","3,248","4,28","3,368"
3000,"94,721","100,791","50,808","34,032","27,076","34,227","36,169","34,461","27,268","32,556"
5000,"265,873","281,904","141,44","94,491","70,901","82,106","74,893","74,118","76,178","76,813"
