,0,1,2,3,4,6,8,16,24,32
1,"0,001","2,14","2,705","2,596","9,092","9,084","9,165","9,125","9,247","9,493"
3,"0,001","1,539","1,642","1,609","9,089","9,063","9,107","9,291","9,147","9,437"
10,"0,002","1,548","1,548","1,788","9,054","9,083","9,103","9,117","9,293","9,398"
100,"0,102","1,682","1,601","1,658","1,94","9,113","9,123","9,4","9,237","9,262"
500,"9,503","5,347","2,912","4,409","9,848","9,64","9,5","10,024","10,174","10,004"
1000,"30,69","41,468","19,791","15,506","12,571","11,515","14,587","14,477","15,36","16,442"
3000,"286,283","251,196","174,726","113,287","120,752","109,317","126,22","134,186","101,492","102,176"
5000,"666,989","699,536","436,849","305,756","334,444","288,693","373,999","354,778","275,009","269,321"
