,0,1,2,3,4,6,8,16,24,32
1,"0,002","0,115","0,174","0,131","0,245","0,325","0,452","0,989","1,445","1,897"
3,0,"0,045","0,056","0,067","0,124","0,227","0,294","0,629","1,09","1,27"
10,"0,002","0,048","0,056","0,067","0,127","0,26","0,276","0,552","0,841","1,258"
100,"0,102","0,164","0,101","0,108","0,156","0,186","0,311","0,55","0,861","1,079"
500,"2,552","2,86","1,471","1,002","0,856","1,111","1,01","1,353","1,486","1,738"
1000,"10,527","11,499","7,181","4,126","3,416","5,6","5,631","7,939","7,962","8,827"
3000,"94,633","104,31","52,402","36,242","29,904","42,943","51,722","76,009","69,003","73,661"
5000,"263,528","289,628","145,811","110,98","110,046","152,166","164,834","213,167","191,864","204,823"
