,0,1,2,3,4,6,8,16,24,32
1,"0,001","0,129","0,148","0,135","0,163","0,282","0,394","0,852","1,364","2,046"
3,"0,002","0,049","0,064","0,064","0,124","0,224","0,406","0,792","1,281","1,709"
10,"0,006","0,051","0,111","0,087","0,092","0,237","0,319","0,619","1,112","1,46"
100,"0,344","0,434","0,253","0,332","0,514","0,545","0,594","0,988","1,297","1,622"
500,"6,276","10,246","3,835","4,979","3,939","4,151","4,65","8,866","8,583","9,177"
1000,"24,823","36,787","15,246","19,573","15,78","18,232","18,7","26,573","27,758","33,456"
3000,"224,776","260,731","131,026","134,862","138,444","144,38","158,089","242,411","274,783","433,747"
5000,"620,708","711,798","564,617","436,296","384,796","403,412","533,836","950,221","829,462","945,965"
